Date,Open,High,Low,Close,Volume,Adj Close
1994-03-16,108.500157,109.750164,108.125156,109.375163,1586700,52.364916
1994-03-15,107.250149,109.62516,107.000153,108.625149,2091900,52.005836
1994-03-14,107.000153,107.500158,106.375155,107.000153,1610400,51.227846
1994-03-11,106.000148,107.000153,105.375144,105.62516,1495900,50.569548
1994-03-10,108.000151,108.125156,105.250159,105.875156,2200600,50.689237
1994-03-09,108.000151,108.375152,106.250151,108.375152,2222600,51.886146
1994-03-08,105.125148,107.500158,104.250147,106.625152,2245000,50.981281
1994-03-07,106.125159,106.750156,104.500144,104.875151,2019600,50.144544
1994-03-04,105.750152,106.375155,104.250147,104.750147,2886300,50.084775
1994-03-03,105.500155,106.375155,104.625155,105.000156,1860800,50.204313
1994-03-02,102.000154,106.250151,101.37515,106.000148,3195800,50.682445
1994-03-01,102.500147,103.375147,100.50015,103.375147,2582800,49.427338
1994-02-28,103.500158,105.500155,102.12514,102.12514,1897800,48.829665
1994-02-25,104.000151,104.250147,103.125151,103.250155,1281900,49.367575
1994-02-24,105.250159,105.250159,103.00014,103.00014,2407200,49.248034
1994-02-23,107.000153,107.250149,105.250159,105.875156,2089800,50.622682
1994-02-22,104.000151,107.375166,102.875154,107.000153,2172900,51.160583
1994-02-18,103.00014,104.750147,100.875151,103.750155,2107000,49.606643
1994-02-17,104.500144,105.875156,102.250151,103.125151,3548500,49.307806
1994-02-16,101.625147,105.000156,101.625147,104.500144,3536400,49.965239
1994-02-15,99.875146,101.750151,99.62515,101.37515,2639200,48.471069
1994-02-14,98.500147,100.250154,98.500147,99.250142,1688500,47.455027
1994-02-11,99.250142,99.500139,97.625147,98.500147,1057300,47.096427
1994-02-10,99.62515,101.250139,99.000146,99.250142,2242200,47.455027
1994-02-09,102.750143,102.750143,99.875146,100.125143,3852100,47.873396
1994-02-08,96.500137,100.875151,96.375145,100.250154,2510700,47.933168
1994-02-07,95.500145,97.500142,95.500145,96.250134,2623800,46.020616
1994-02-04,98.75015,99.375153,95.250149,95.250149,2324600,45.542487
1994-02-03,101.000143,101.000143,99.250142,99.250142,1305100,47.455027
1994-02-02,101.000143,101.500142,100.000138,101.125154,2139000,48.351537
1994-02-01,98.250138,101.000143,97.750138,101.000143,2331700,48.291764
